year,metro,facilityType,vmt,laneMiles,minElast,maxElast
2022,Minneapolis-St. Paul-Bloomington,Major Collector,2852254802,5937,0.5,0.7
2022,Minneapolis-St. Paul-Bloomington,Minor Arterial,8258440263,7391,0.5,0.7
2022,Minneapolis-St. Paul-Bloomington,Minor Collector,864329542,4431,0.5,0.7
2022,Minneapolis-St. Paul-Bloomington,Principal Arterial,4029699280,1826,0.7,1
2022,Rochester,Freeway/Expressway,330812668,111,0.7,1
2022,Rochester,Interstate,109356120,109,0.7,1
2022,Rochester,Local,291707426,7309,0.3,0.5
2022,Rochester,Major Collector,369575839,1535,0.5,0.7
2022,Rochester,Minor Arterial,526407140,885,0.5,0.7
2022,Rochester,Minor Collector,94160458,897,0.5,0.7
2022,Rochester,Principal Arterial,428267723,386,0.7,1
2022,St. Cloud,Interstate,603519646,231,0.7,1
2022,St. Cloud,Local,269431526,5835,0.3,0.5
2022,St. Cloud,Major Collector,310796542,1108,0.5,0.7
2022,St. Cloud,Minor Arterial,357063694,475,0.5,0.7
2022,St. Cloud,Minor Collector,102874104,784,0.5,0.7
2022,St. Cloud,Principal Arterial,705694136,488,0.7,1
2023,Duluth,Interstate,242669233,127,0.7,1
2023,Duluth,Local,41788866,1561,0.3,0.5
2023,Duluth,Major Collector,90186776,416,0.5,0.7
2023,Duluth,Minor Arterial,53022593,128,0.5,0.7
2023,Duluth,Minor Collector,19593431,249,0.5,0.7
2023,Duluth,Principal Arterial,60128740,81,0.7,1
2023,Mankato-North Mankato,Freeway/Expressway,100434322,42,0.7,1
2023,Mankato-North Mankato,Local,114326829,3417,0.3,0.5
2023,Mankato-North Mankato,Major Collector,159327503,818,0.5,0.7
2023,Mankato-North Mankato,Minor Arterial,242127837,378,0.5,0.7
2023,Mankato-North Mankato,Minor Collector,69327258,613,0.5,0.7
2023,Mankato-North Mankato,Principal Arterial,416061863,358,0.7,1
2023,Minneapolis-St. Paul-Bloomington,Freeway/Expressway,3857373913,735,0.7,1
2023,Minneapolis-St. Paul-Bloomington,Interstate,8800429456,1596,0.7,1
2023,Minneapolis-St. Paul-Bloomington,Local,3285654985,35896,0.3,0.5
2023,Minneapolis-St. Paul-Bloomington,Major Collector,2858422399,5937,0.5,0.7
2023,Minneapolis-St. Paul-Bloomington,Minor Arterial,8268096448,7412,0.5,0.7
2023,Minneapolis-St. Paul-Bloomington,Minor Collector,884124983,4429,0.5,0.7
2023,Minneapolis-St. Paul-Bloomington,Principal Arterial,3987782886,1812,0.7,1
2023,Rochester,Freeway/Expressway,371940814,144,0.7,1
2023,Rochester,Interstate,112741509,109,0.7,1
2023,Rochester,Local,296460843,7286,0.3,0.5
2023,Rochester,Major Collector,368478810,1535,0.5,0.7
2023,Rochester,Minor Arterial,523278299,885,0.5,0.7
2023,Rochester,Minor Collector,92200360,897,0.5,0.7
2023,Rochester,Principal Arterial,396565338,353,0.7,1
