year,county,facilityType,vmt,laneMiles,minElast,maxElast
2016,Nicollet,Freeway/Expressway,27388886,17,0.7,1
2016,Nicollet,Local,37948842,1103,0.3,0.5
2016,Nicollet,Major Collector,53340553,294,0.5,0.7
2016,Nicollet,Minor Arterial,52104570,84,0.5,0.7
2016,Nicollet,Minor Collector,17710376,201,0.5,0.7
2016,Nicollet,Principal Arterial,204266739,153,0.7,1
2016,Nobles,Interstate,106736789,121,0.7,1
2016,Nobles,Local,42479645,2062,0.3,0.5
2016,Nobles,Major Collector,49973531,378,0.5,0.7
2016,Nobles,Minor Arterial,27847607,87,0.5,0.7
2016,Nobles,Minor Collector,17728321,321,0.5,0.7
2016,Nobles,Principal Arterial,65852978,114,0.7,1
2016,Norman,Local,18718648,2076,0.3,0.5
2016,Norman,Major Collector,15430142,326,0.5,0.7
2016,Norman,Minor Arterial,62715706,290,0.5,0.7
2016,Norman,Minor Collector,4883083,263,0.5,0.7
2016,Olmsted,Freeway/Expressway,328866871,110,0.7,1
2016,Olmsted,Interstate,108997674,109,0.7,1
2016,Olmsted,Local,170141656,2414,0.3,0.5
2016,Olmsted,Major Collector,214267645,512,0.5,0.7
2016,Olmsted,Minor Arterial,400626901,391,0.5,0.7
2016,Olmsted,Minor Collector,49594788,279,0.5,0.7
2016,Olmsted,Principal Arterial,205866775,99,0.7,1
2016,Otter Tail,Interstate,182402191,131,0.7,1
2016,Otter Tail,Local,104982282,5483,0.3,0.5
2016,Otter Tail,Major Collector,145100911,910,0.5,0.7
2016,Otter Tail,Minor Arterial,138326336,315,0.5,0.7
2016,Otter Tail,Minor Collector,60732838,823,0.5,0.7
2016,Otter Tail,Principal Arterial,192531771,325,0.7,1
2016,Pennington,Local,23915005,1556,0.3,0.5
2016,Pennington,Major Collector,19875032,197,0.5,0.7
2016,Pennington,Minor Arterial,67332147,224,0.5,0.7
2016,Pennington,Minor Collector,6855856,185,0.5,0.7
2016,Pennington,Principal Arterial,25330928,36,0.7,1
2016,Pine,Interstate,305723959,200,0.7,1
2016,Pine,Local,49844639,2515,0.3,0.5
2016,Pine,Major Collector,50095816,388,0.5,0.7
2016,Pine,Minor Arterial,111943485,259,0.5,0.7
2016,Pine,Minor Collector,31181342,559,0.5,0.7
2016,Pine,Principal Arterial,15445851,19,0.7,1
2016,Pipestone,Local,22634099,1306,0.3,0.5
2016,Pipestone,Major Collector,26438697,296,0.5,0.7
2016,Pipestone,Minor Arterial,32585979,92,0.5,0.7
2016,Pipestone,Minor Collector,5290990,158,0.5,0.7
2016,Pipestone,Principal Arterial,36243296,61,0.7,1
2016,Polk,Local,59619090,4693,0.3,0.5
